"Address","City","Bd1","Bth1","Sqft","LotSz1","LotUnit","Year","Date","Sqft.dollor","DOM.CDOM","OrgPrice","LstPrice","SalPrice","SP.LP","zip"
"2236 Cattle Dr","Folsom","3","2 (2 0)",1468,0.126,"ac","2005",2013-11-18,241.83,"41/41",317000,"359,000","355000",98.89,95630
"1472 Farrell Ct","Folsom","3","2 (2 0)",1327,0.1892,"ac","1999",2014-03-20,267.52,"34/34",369900,"359,900","355000",98.64,95630
"821 Fratis St","Folsom","3","2 (2 0)",1402,0.1654,"ac","1999",2014-02-14,253.21,"1/1",349000,"349,000","355000",101.72,95630
"804 Stewart St","Folsom","3","2 (2 0)",1332,0.1451,"ac","1999",2014-02-10,268.02,"6/6",350000,"350,000","357000",102,95630
"133 Larkin Cir","Folsom","3","3 (2 1)",1677,0.1298,"ac","1994",2014-02-27,213.18,"36/73",390000,"365,000","357500",97.95,95630
"268 Hornsby Ct","Folsom","3","2 (2 0)",1327,0.13,"ac","2000",2014-03-14,269.78,"31/31",363000,"363,000","358000",98.62,95630
"1515 Guzzetti Way","Folsom","4","3 (2 1)",1701,0.059,"ac","2008",2014-03-13,210.93,"26/26",365000,"365,000","358800",98.3,95630
"2143 Horseshoe Glen C","Folsom","3","2 (2 0)",1468,0.114,"ac","2005",2014-02-21,244.55,"74/74",395888,"359,888","359000",99.75,95630
"807 Stewart St","Folsom","3","2 (2 0)",1402,6372,"sf","1998",2014-03-19,256.06,"4/4",349900,"349,900","359000",102.6,95630
"103 RAWLINGS Ct","Folsom","3","2 (2 0)",1371,9300,"sf","1985",2014-03-14,262.58,"10/10",359000,"359,000","360000",100.28,95630
"1623 Ballou","Folsom","4","3 (2 1)",1905,0.089,"ac","2007",2014-02-14,188.98,"71/71",365000,"365,000","360000",98.63,95630
"143 Barnhill Dr","Folsom","3-4","3 (3 0)",1856,0.0525,"ac","2011",2014-03-27,193.97,"35/35",385000,"369,990","360000",97.3,95630
"1181 Cobble Fields Ct","Folsom","3","2 (2 0)",1506,0.1403,"ac","1997",2013-11-22,239.04,"17/17",379000,"369,000","360000",97.56,95630
"105 John Henry Cir","Folsom","4","3 (3 0)",1754,0.17,"ac","1993",2014-01-24,206.96,"5/5",369000,"369,000","363000",98.37,95630
"107 Cobble Ridge Dr","Folsom","3","3 (2 1)",1677,0.106,"ac","1999",2014-01-21,216.99,"135/135",439900,"369,900","363900",98.38,95630
"384 Flower Dr","Folsom","3","3 (2 1)",1979,0.2586,"ac","1985",2013-12-19,184.44,"75/75",375000,"375,000","365000",97.33,95630
"121 Rambling Dr","Folsom","3","2 (2 0)",1661,0.1672,"ac","1987",2014-03-20,219.75,"23/23",374000,"374,000","365000",97.59,95630
"369 COVENTRY Cir","Folsom","3","3 (3 0)",1721,0.082,"ac","1996",2013-12-13,212.09,"20/20",379000,"369,000","365000",98.92,95630
"149 Penwood","Folsom","3","2 (2 0)",1422,0.1913,"ac","1990",2014-03-21,256.68,"6/9",374950,"374,950","365000",97.35,95630
"903 Blossom Rock Ln","Folsom","3","3 (2 1)",1893,3740,"sf","2013",2014-02-05,193.62,"102/102",417830,"415,515","366515",88.21,95630
"127 Rockbolt Cir","Folsom","3","3 (2 1)",1677,0.1021,"ac","1994",2014-03-20,220.04,"20/20",369000,"369,000","369000",100,95630
"106 Cobble Ridge Dr","Folsom","3","3 (2 1)",1938,0.1022,"ac","1999",2014-01-10,190.92,"136/136",399500,"379,000","370000",97.63,95630
"136 Rambling Dr","Folsom","3","2 (2 0)",1661,0.1601,"ac","1987",2013-11-12,222.76,"7/7",370000,"370,000","370000",100,95630
"438 Slocum Dr","Folsom","3-4","3 (3 0)",1820,0.1092,"ac","1994",2013-12-06,206.04,"26/26",384999,"379,900","375000",98.71,95630
"605 Ascada Ct","Folsom","3","2 (2 0)",1583,0.313,"ac","1983",2013-11-22,236.89,"7/7",375000,"375,000","375000",100,95630
"215 Barnhill Dr","Folsom","3","3 (2 1)",1930,0.0633,"ac","2008",2014-01-24,194.3,"133/133",399000,"385,000","375000",97.4,95630
"129 Oxburough Dr","Folsom","4","3 (2 1)",1858,0.11,"ac","1995",2014-03-31,201.83,"158/158",385000,"378,000","375000",99.21,95630
"1577 Bonanza Ln","Folsom","3","3 (2 1)",1874,2812,"sf","New",2014-03-31,200.11,"41/41",389909,"389,909","375000",96.18,95630
"866 Carter St","Folsom","3","3 (2 1)",1710,0.1228,"ac","1997",2014-01-30,219.3,"23/23",385000,"380,000","375000",98.68,95630
"1405 Rutsey Ct","Folsom","3-4","2 (2 0)",1595,0.1789,"ac","1999",2014-03-18,235.11,"42/42",414900,"395,000","375000",94.94,95630
"1200 Newmark Way","Folsom","3","3 (2 1)",1782,0.111,"ac","1994",2013-12-11,211.84,"18/18",389000,"384,900","377500",98.08,95630
"123 Sutcliffe Cir","Folsom","4-5","3 (2 1)",2024,0.0826,"ac","1993",2014-01-14,186.76,"18/18",373000,"369,000","378000",102.44,95630
"512 Fisher Cir","Folsom","4","2 (2 0)",1635,0.1306,"ac","1999",2013-12-23,232.42,"5/5",395000,"395,000","380000",96.2,95630
"424 Turn Pike Dr","Folsom","3","2 (2 0)",1677,0.178,"ac","1992",2014-03-21,226.6,"9/9",380000,"380,000","380000",100,95630
"2021 Horseshoe Glen","Folsom","4","2 (2 0)",1613,0.1338,"ac","2008",2013-12-19,235.59,"30/56",389900,"389,900","380000",97.46,95630
"159 John Henry Circle","Folsom","4","3 (2 1)",2206,0.23,"ac","1993",2014-01-17,172.3,"26/26",425000,"403,750","380100",94.14,95630
"109 Burnham Ct","Folsom","3","2 (2 0)",1363,0.3096,"ac","1988",2014-01-29,280.26,"23/69",385000,"385,000","382000",99.22,95630
"403 Hansen Cir","Folsom","3","3 (2 1)",1710,0.153,"ac","1997",2013-11-14,224.85,"10/10",379000,"384,500","384500",100,95630
"341 Leckenby Way","Folsom","4","2 (2 0)",1595,0.1702,"ac","1999",2014-03-21,241.35,"28/28",389500,"384,950","384950",100,95630
"100 Pawtucket Ct","Folsom","3","2 (2 0)",1567,0.1921,"ac","1990",2013-12-06,245.69,"11/11",385000,"385,000","385000",100,95630
"169 BARNHILL Dr","Folsom","4","3 (2 1)",1930,0.062,"ac","2008",2014-01-02,199.48,"23/23",399000,"399,000","385000",96.49,95630
"107 Boxcar","Folsom","3","2 (2 0)",1762,0.19,"ac","1993",2013-11-01,218.5,"6/6",389900,"389,900","385000",98.74,95630
"107 Gable St","Folsom","3","2 (2 0)",1661,0.169,"ac","1987",2013-11-05,232.39,"11/11",385000,"385,000","386000",100.26,95630
"744 Morningside Dr","Folsom","2-3","2 (2 0)",1973,0.1531,"ac","2002",2014-02-21,195.64,"21/21",390000,"390,000","386000",98.97,95630
"556 Fisher Cir","Folsom","3-4","2 (2 0)",1710,0.1469,"ac","1999",2013-11-21,226.9,"16/16",397000,"389,900","388000",99.51,95630
"1466 Strabane Way","Folsom","4","2 (2 0)",1607,0.1313,"ac","2003",2014-02-06,242.69,"29/29",404900,"404,900","390000",96.32,95630
"105 Thoreau Ln","Folsom","3","3 (2 1)",1748,0.1921,"ac","1989",2014-02-21,223.11,"58/58",399900,"384,900","390000",101.33,95630
"205 Barnhill Dr","Folsom","3-4","3 (2 1)",1930,0.0594,"ac","2006",2014-02-28,202.07,"12/12",399900,"399,900","390000",97.52,95630
"1587 Ballou","Folsom","3","3 (2 1)",1905,0.095,"ac","2007",2014-01-31,204.72,"4/4",384900,"384,900","390000",101.33,95630
"226 Barnhill Dr","Folsom","4","3 (3 0)",2009,0.067,"ac","2012",2014-01-30,194.13,"3/3",399900,"399,900","390000",97.52,95630
"141 Timson Dr","Folsom","4","3 (2 1)",1978,0.1376,"ac","1988",2014-03-06,197.17,"22/111",389000,"393,000","390000",99.24,95630
"701 Larson Way","Folsom","3","2 (2 0)",1655,0.16,"ac","1997",2014-03-25,237.46,"0/0",399000,"399,000","393000",98.5,95630
"2182 Stockman Cir","Folsom","3","2 (2 0)",1670,0.1847,"ac","2006",2013-12-24,236.53,"5/5",415000,"415,000","395000",95.18,95630
"108 Blue Canyon Way","Folsom","3-4","2 (2 0)",2205,0.2961,"ac","1981",2013-12-19,179.14,"45/45",399000,"395,000","395000",100,95630
"980 Willow Bridge Dr","Folsom","4","3 (3 0)",2329,3210,"sf","New",2013-12-31,171.32,"53/53",458990,"423,750","399000",94.16,95630
"152 John Henry Cir","Folsom","4","3 (3 0)",1754,0.16,"ac","1993",2013-11-13,228,"2/2",399900,"399,900","399907",100,95630
"152 Stonington Way","Folsom","4","4 (3 1)",2435,0.187,"ac","1989",2013-12-31,164.27,"117/117",360000,"410,000","400000",97.56,95630
"7535 Baldwin Dam Rd","Folsom","3","3 (2 1)",1886,0.5165,"ac","1974",2013-11-22,212.09,"58/58",495000,"399,900","400000",100.03,95630
"1873 Ardfern Way","Folsom","3","3 (2 1)",1988,0.1498,"ac","2000",2013-11-08,201.21,"43/43",425000,"419,000","400000",95.47,95630
"780 Morningside Dr","Folsom","3","2 (2 0)",1859,0.1317,"ac","2002",2014-03-04,215.17,"7/7",399900,"399,900","400000",100.03,95630
"285 Barnhill Dr #60","Folsom","4","3 (2 1)",1856,3209,"sf","New",2014-03-28,215.52,"23/23",417736,"417,736","400000",95.75,95630
"875 Blossom Rock Ln #","Folsom","4","3 (3 0)",2038,3400,"sf","New",2014-03-23,196.27,"26/26",412069,"412,069","400000",97.07,95630
"130 Landrum Cir","Folsom","3-4","3 (2 1)",2506,0.18,"ac","1993",2014-03-26,160.42,"56/56",467500,"424,900","402000",94.61,95630
"102 Laquart Court","Folsom","3","3 (2 1)",2059,7841,"sf","1998",2013-11-22,195.24,"122/122",469000,"419,000","402000",95.94,95630
"105 Wrentham St","Folsom","4-5","3 (2 1)",2585,0.209,"ac","1989",2014-03-20,156.67,"33/33",430000,"399,000","405000",101.5,95630
"2264 Lariat Ln","Folsom","4","3 (3 0)",1851,0.1277,"ac","2005",2014-02-07,218.8,"61/61",424950,"405,000","405000",100,95630
"120 Foley Ln","Folsom","3-4","3 (2 1)",1938,0.1034,"ac","2001",2013-12-24,208.98,"50/50",414900,"413,900","405000",97.85,95630
"126 ELKINS","Folsom","4","3 (3 0)",2470,6092,"sf","1991",2014-03-21,163.97,"124/124",399000,"420,000","405000",96.43,95630
"158 Canyon Rim Dr","Folsom","3","3 (2 1)",2381,0.2605,"ac","1984",2014-01-30,170.1,"1/1",399000,"399,000","405000",101.5,95630
"1700 Parkway Dr","Folsom","4","3 (3 0)",2203,0.0794,"ac","2012",2014-02-28,183.84,"38/38",419500,"419,500","405000",96.54,95630
"140 Orange Blossom Cir","Folsom","3-4","2 (2 0)",1919,0.18,"ac","1993",2014-03-13,211.57,"48/48",415000,"408,000","406000",99.51,95630
"251 Silberhorn Dr","Folsom","4","2 (2 0)",1939,0.1591,"ac","1990",2014-02-27,209.9,"13/13",417000,"417,000","407000",97.6,95630
"1200 Fergusen Way","Folsom","3","2 (2 0)",1670,0.17,"ac","2004",2014-03-07,244.31,"9/9",411000,"411,000","408000",99.27,95630
"303 Silberhorn Dr","Folsom","4","2 (2 0)",2154,0.1895,"ac","1989",2013-12-17,189.42,"59/59",425000,"415,000","408000",98.31,95630
"117 Larkin Cir","Folsom","4","3 (2 1)",1938,0.106,"ac","1994",2013-12-13,211.3,"20/20",415500,"409,500","409500",100,95630
"481 Muerer St","Folsom","3-4","2 (2 0)",1974,0.1377,"ac","1996",2013-12-05,207.7,"12/12",425000,"425,000","410000",96.47,95630
"109 Kerswell Ct","Folsom","3","2 (2 0)",1827,0.2218,"ac","1992",2013-11-01,224.41,"5/5",415000,"415,000","410000",98.8,95630
"113 Fausset Ct","Folsom","3-5","3 (2 1)",2100,0.3099,"ac","1981",2014-02-18,195.24,"130/130",550000,"399,999","410000",102.5,95630
"1314 Fong St","Folsom","2-3","3 (2 1)",1868,0.1485,"ac","1994",2014-03-07,219.49,"26/26",389000,"410,000","410000",100,95630
"205 Baurer Cir","Folsom","4","2 (2 0)",1939,0.2074,"ac","1990",2014-02-26,211.45,"33/33",445000,"435,000","410000",94.25,95630
"329 Turn Pike Dr","Folsom","4-5","2 (2 0)",2214,0.17,"ac","1991",2014-01-30,185.19,"43/43",439000,"429,900","410000",95.37,95630
"326 Willow Creek Dr","Folsom","4","2 (2 0)",2000,0.3142,"ac","1985",2014-03-26,206,"18/18",410000,"410,000","412000",100.49,95630
"1333 Halidon Way","Folsom","3","2 (2 0)",1661,0.17,"ac","1997",2014-02-20,248.04,"4/4",410000,"410,000","412000",100.49,95630
"105 Orange Blossom Cir ","Folsom","4","2 (2 0)",2105,0.22,"ac","1994",2014-01-06,197.15,"3/3",425000,"425,000","415000",97.65,95630
"1388 Freswick Dr","Folsom","4","3 (3 0)",2568,0.146,"ac","2001",2014-01-24,161.6,"9/47",429500,"429,500","415000",96.62,95630
"1585 Bonanza Lane","Folsom","4","3 (3 0)",2000,3182,"sf","Under C",2013-11-29,209,"14/58",392950,"392,950","417997",106.37,95630
"975 Hildebrand Cir","Folsom","3","2 (2 0)",1919,0.1421,"ac","2006",2014-02-07,218.86,"147/147",449000,"430,000","420000",97.67,95630
"104 Dunstable Way","Folsom","5","3 (3 0)",2533,0.2097,"ac","1990",2014-02-13,165.81,"27/124",444888,"444,888","420000",94.41,95630
"151 Stoney Hill Dr","Folsom","4","3 (2 1)",2173,0.2076,"ac","1988",2014-01-13,193.28,"37/37",419900,"419,900","420000",100.02,95630
"101 Wilson Ct","Folsom","3-4","3 (2 1)",2185,0.2586,"ac","1986",2014-03-27,193.14,"151/290",433900,"429,900","422000",98.16,95630
"121 Talleyville","Folsom","4","2 (2 0)",2002,0.2242,"ac","1989",2014-03-14,211.04,"20/20",435000,"429,900","422500",98.28,95630
"100 Donegan Ct","Folsom","3","2 (2 0)",1868,0.19,"ac","1990",2014-03-17,227.52,"6/6",424950,"424,950","425000",100.01,95630
"225 Thorndike Way","Folsom","4","3 (3 0)",2452,0.1997,"ac","1990",2013-12-26,173.33,"4/4",425000,"425,000","425000",100,95630
"1533 Hammond Ct","Folsom","3-4","3 (2 1)",2420,0.1376,"ac","2004",2014-01-14,175.62,"15/15",399900,"425,000(V)","425000",100,95630
"123 Llewellyn Ct","Folsom","4","3 (3 0)",2429,0.269,"ac","1981",2013-11-12,174.97,"11/11",449900,"449,900","425000",94.47,95630
"1090 Perazzo Cir","Folsom","3-4","3 (2 1)",2129,0.1567,"ac","1998",2013-12-19,199.62,"33/33",475000,"449,900","425000",94.47,95630
"325 Randall Dr","Folsom","4","2 (2 0)",1787,0.19,"ac","1993",2013-12-24,237.83,"30/30",435000,"435,000","425000",97.7,95630
"1870 Bonhill Dr","Folsom","4","3 (3 0)",1988,0.1159,"ac","2001",2014-01-06,214.34,"11/11",419900,"419,900","426100",101.48,95630
"1877 Greenlaw Way","Folsom","3-4","3 (3 0)",1988,0.1953,"ac","2000",2014-03-24,214.79,"49/49",430000,"430,000","427000",99.3,95630
"9805 Valley Pines Dr","Folsom","3","3 (2 1)",2431,0.5337,"ac","1976",2014-03-21,175.65,"12/12",419750,"419,750","427000",101.73,95630
"2148 Kavine Way","Folsom","3","2 (2 0)",1919,9576,"sf","2005",2013-12-20,223.55,"1/1",425000,"425,000","429000",100.94,95630
"144 Silberhorn Dr","Folsom","4","3 (3 0)",2426,0.1875,"ac","1989",2013-12-20,176.83,"72/72",525000,"429,900","429000",99.79,95630
"1952 Tyndrum Ln","Folsom","4-5","3 (2 1)",2249,0.1804,"ac","2001",2013-12-09,191.15,"11/41",429900,"429,900","429900",100,95630
"748 Halidon Way","Folsom","3","2 (2 0)",1997,0.1832,"ac","1999",2014-01-29,215.32,"12/12",469000,"439,000","430000",97.95,95630
"1433 Haddington Dr","Folsom","4","3 (3 0)",2277,0.1338,"ac","2002",2014-01-31,189.72,"5/5",425000,"432,000","432000",100,95630
"693 Sands Way","Folsom","4-5","3 (3 0)",2284,0.1493,"ac","1997",2014-01-27,189.14,"67/67",459000,"439,000","432000",98.41,95630
"1030 Brock Cir","Folsom","4","2 (2 0)",2125,0.19,"ac","1999",2014-01-07,203.76,"30/30",440000,"440,000","433000",98.41,95630
"103 Yager Dr","Folsom","4","3 (3 0)",2076,0.23,"ac","1989",2013-12-18,209.78,"4/4",425000,"425,000","435500",102.47,95630
"227 Briggs Ranch Dr","Folsom","4","2 (2 0)",2040,0.2,"ac","1994",2014-02-26,213.73,"19/19",435000,"435,000","436000",100.23,95630
"1120 Kingfisher Cir","Folsom","3-4","3 (3 0)",2295,0.1628,"ac","1999",2014-01-30,189.98,"73/73",464000,"439,900","436000",99.11,95630
"120 Conductor Way","Folsom","4","3 (3 0)",2479,0.1377,"ac","1991",2014-03-27,177.09,"102/102",479000,"449,000","439000",97.77,95630
"1538 THURMAN Way","Folsom","4","2 (2 0)",2082,10063,"sf","2003",2014-03-13,211.29,"39/39",459900,"439,900","439900",100,95630
"186 Briggs Ranch Dr","Folsom","4","3 (2 1)",2097,0.22,"ac","1992",2013-11-08,209.82,"2/2",439000,"439,000","440000",100.23,95630
"359 N Lexington Dr","Folsom","5","3 (3 0)",2926,0.1667,"ac","1990",2013-11-22,150.38,"20/20",465000,"439,000","440000",100.23,95630
"931 John Murray Way","Folsom","4","2 (2 0)",1878,0.1935,"ac","1999",2013-11-01,234.29,"34/110",459900,"449,000","440000",98,95630
"1169 Clemensen Cir","Folsom","4","2 (2 0)",2023,6091,"sf","2004",2013-12-23,219.92,"11/11",459900,"444,900","444900",100,95630
"142 Big Valley Rd","Folsom","3-4","3 (2 1)",2173,0.3143,"ac","1987",2014-02-28,204.79,"21/21",450000,"450,000","445000",98.89,95630
"120 Judah Ct","Folsom","4","3 (3 0)",2387,0.241,"ac","1984",2014-01-03,186.43,"25/25",464900,"464,900","445000",95.72,95630
"498 S Lexington","Folsom","4","3 (3 0)",2256,0.1609,"ac","1987",2014-03-20,197.25,"3/3",445000,"445,000","445000",100,95630
"1472 Freswick Dr","Folsom","3","2 (2 0)",1973,0.1857,"ac","2001",2014-03-31,226.05,"21/21",475000,"450,000","446000",99.11,95630
"112 Pradera","Folsom","3","2 (2 0)",2126,0.2348,"ac","1986",2013-12-06,210.72,"33/104",459000,"449,000","448000",99.78,95630
"717 King Way","Folsom","4","3 (3 0)",2523,0.1517,"ac","1996",2014-02-15,177.96,"102/102",490000,"459,999","449000",97.61,95630
"1111 Buckbrush Dr","Folsom","4","2 (2 0)",2100,0.1768,"ac","1996",2014-03-03,213.81,"24/24",459000,"459,000","449000",97.82,95630
"105 Couts Way","Folsom","5","3 (2 1)",2206,0.1844,"ac","1993",2014-02-10,203.99,"3/3",439000,"439,000","450000",102.51,95630
"116 Rocky Cove","Folsom","4","3 (3 0)",2125,0.2314,"ac","1987",2013-11-27,211.76,"36/36",479000,"479,000","450000",93.95,95630
"104 Cruickshank Dr","Folsom","4-5","3 (3 0)",2644,0.2084,"ac","1997",2014-01-30,170.2,"61/61",519000,"465,000","450000",96.77,95630
"105 Foxridge Dr","Folsom","2","2 (2 0)",2764,0.4575,"ac","1981",2013-12-05,163.53,"59/59",535000,"469,900","452000",96.19,95630
"130 DEERWOOD WAY","Folsom","4","2 (2 0)",2191,0.51,"ac","1978",2014-03-31,206.3,"113/113",507000,"489,000","452000",92.43,95630
"915 Halidon Way","Folsom","4","2 (2 0)",1876,0.22,"ac","1997",2014-02-11,242,"1/1",459000,"459,000","454000",98.91,95630
"178 Willow Creek Dr","Folsom","4","3 (2 1)",2180,0.2441,"ac","1981",2014-03-04,208.72,"12/12",449000,"449,000","455000",101.34,95630
"113 Swain Sqr","Folsom","4","3 (3 0)",2405,0.199,"ac","1988",2013-12-19,189.98,"18/18",459900,"459,900","456900",99.35,95630
"727 Sands Way","Folsom","4-5","3 (3 0)",2776,0.155,"ac","1998",2014-01-07,164.99,"191/221",500000,"459,000","458000",99.78,95630
"118 Oak Rock Cir","Folsom","4","3 (2 1)",2553,0.53,"ac","1981",2014-01-17,180.18,"26/207",455000,"460,000","460000",100,95630
"105 Fahey Ct","Folsom","4","3 (3 0)",2442,0.29,"ac","1990",2013-12-23,188.37,"15/15",479000,"469,000","460000",98.08,95630
"1077 Pintail Cir","Folsom","4","3 (2 1)",2420,0.1867,"ac","1999",2014-01-29,190.08,"10/10",462000,"462,000","460000",99.57,95630
"738 Leferve Ct","Folsom","3","2 (2 0)",1777,0.181,"ac","2011",2013-12-03,261.68,"1/1",449000,"449,000","465000",103.56,95630
"1284 Withers Ct","Folsom","5","3 (3 0)",2447,0.1991,"ac","2000",2013-12-18,190.03,"9/9",464000,"464,000","465000",100.22,95630
"111 Whelan Ct","Folsom","3-4","2 (2 0)",2097,0.3025,"ac","1990",2014-01-30,222.17,"15/15",459900,"459,900","465900",101.3,95630
"1127 Burwick Ln","Folsom","3-4","4 (3 1)",2471,0.1303,"ac","2001",2013-11-15,188.61,"22/22",494888,"488,000","466050",95.5,95630
"117 Yankton St","Folsom","4-5","3 (3 0)",2456,0.18,"ac","1992",2014-01-16,190.55,"7/7",468000,"468,000","468000",100,95630
"176 Briggs Ranch Dr","Folsom","4","3 (3 0)",2269,0.21,"ac","1992",2013-12-02,206.7,"47/47",489000,"479,000","469000",97.91,95630
"103 Middle Fork Ct","Folsom","4","3 (3 0)",2365,0.278,"ac","1982",2014-01-10,198.52,"26/26",492500,"492,500","469500",95.33,95630
"1026 Brock Cir","Folsom","4","3 (2 1)",2465,0.181,"ac","1999",2014-02-21,191.48,"10/10",479900,"479,900","472000",98.35,95630
"1110 Houston Cir","Folsom","4","3 (3 0)",2333,0.164,"ac","1999",2014-03-07,203.6,"14/14",482900,"475,000","475000",100,95630
"1546 Kearns Ct","Folsom","3-5","3 (2 1)",2420,0.3823,"ac","2003",2014-03-11,196.28,"36/97",475000,"475,000","475000",100,95630
"137 Southcreek Cir","Folsom","4","2 (2 0)",2206,0.3774,"ac","1985",2014-02-14,215.32,"18/18",475000,"475,000","475000",100,95630
"102 Marvin Ct","Folsom","4","3 (3 0)",2269,0.233,"ac","1990",2013-11-18,209.34,"12/12",475000,"475,000","475000",100,95630
"904 Carter St","Folsom","3-4","3 (3 0)",2231,0.225,"ac","1999",2013-11-14,214.25,"9/9",475000,"475,000","478000",100.63,95630
"479 Rockport Cir","Folsom","3-4","3 (3 0)",2907,0.739,"ac","1990",2014-03-07,164.77,"6/6",479000,"479,000","479000",100,95630
"1797 Langholm Way","Folsom","4","3 (3 0)",2568,0.156,"ac","2001",2013-11-20,186.92,"27/27",485000,"479,000","480000",100.21,95630
"242 Luna Cir","Folsom","4-5","3 (3 0)",2436,0.252,"ac","1996",2014-01-14,197.87,"38/91",500000,"488,500","482000",98.67,95630
"1377 Marsden Ct","Folsom","4","2 (2 0)",2045,0.2101,"ac","1999",2013-11-08,236.67,"3/3",479000,"479,000","484000",101.04,95630
"403 Leidesdorff St","Folsom","4","2 (2 0)",2176,0.1607,"ac","1984",2014-02-26,222.89,"117/117",599000,"529,000","485000",91.68,95630
"2008 Stockman Cir","Folsom","4-5","3 (2 1)",2462,0.1914,"ac","2003",2014-03-10,196.99,"9/9",485000,"485,000","485000",100,95630
"139 Honey Cook Cir","Folsom","4","3 (2 1)",2493,0.2,"ac","1991",2013-11-01,195.35,"7/7",484999,"484,999","487000",100.41,95630
"1189 Meredith Way","Folsom","4","3 (2 1)",2436,0.133,"ac","2003",2014-01-27,200.12,"61/61",499000,"482,000","487500",101.14,95630
"689 Halidon Way","Folsom","4","3 (2 1)",2397,0.1672,"ac","1998",2013-12-06,203.59,"14/14",489000,"489,000","488000",99.8,95630
"155 Thorndike Way","Folsom","4","3 (3 0)",2263,0.2089,"ac","1989",2014-03-17,217.41,"3/3",465000,"479,000","492000",102.71,95630
"1945 Broadford","Folsom","4","3 (2 1)",2735,0.1784,"ac","2000",2013-11-22,180.03,"11/32",499900,"505,000","492375",97.5,95630
"216 Dulverton Cir","Folsom","3-4","4 (4 0)",3011,0.1782,"ac","1990",2013-12-20,164.4,"6/56",499900,"499,900","495000",99.02,95630
"1364 Folsom Meadows ","Folsom","3","4 (3 1)",2350,3138,"sf","Under C",2014-03-03,211.15,"7/7",496205,"496,205","496205",100,95630
"749 Hildebrand Cir","Folsom","4","3 (3 0)",2850,0.1524,"ac","2006",2014-01-09,175.4,"0/158",499900,"499,900","499900",100,95630
"1710 Bowen Dr","Folsom","4","3 (3 0)",2648,0.158,"ac","2005",2014-03-05,188.82,"24/24",550000,"515,000","500000",97.09,95630
"126 Cobbleoak Way","Folsom","4","3 (2 1)",2294,0.6336,"ac","1979",2014-03-14,217.96,"5/5",489900,"489,900","500000",102.06,95630
"1061 Houston Cir","Folsom","4","3 (2 1)",2442,0.181,"ac","1997",2014-01-22,204.75,"66/66",515000,"515,000","500000",97.09,95630
"110 Gisler Ct","Folsom","5","3 (3 0)",2682,11328,"sf","1997",2013-11-07,187.17,"8/8",489900,"489,900","502000",102.47,95630
"355 N Lexington Dr","Folsom","4","3 (2 1)",2599,0.1667,"ac","1990",2014-03-17,193.5,"8/8",499900,"499,900","502900",100.6,95630
"1589 Broder Cir","Folsom","4","3 (2 1)",2632,0.174,"ac","2000",2014-03-05,191.87,"10/10",514900,"514,900","505000",98.08,95630
"1660 Tibessart Ct","Folsom","3-4","3 (2 1)",2555,0.2871,"ac","2001",2014-03-04,197.65,"36/36",535000,"535,000","505000",94.39,95630
"210 Luna Cir","Folsom","4","3 (3 0)",2436,0.1904,"ac","1996",2014-02-28,207.52,"121/121",560000,"529,000","505525",95.56,95630
"179 Wellfleet Cir","Folsom","4","3 (2 1)",2748,0.3666,"ac","1991",2013-11-13,184.5,"45/45",545000,"525,000","507000",96.57,95630
"126 Puffer Way","Folsom","5","4 (3 1)",2865,0.2296,"ac","1985",2014-02-20,178.01,"12/12",550000,"519,000","510000",98.27,95630
"1057 Houston Cir","Folsom","3-4","3 (2 1)",2129,0.164,"ac","1997",2014-03-10,239.55,"9/9",510000,"510,000","510000",100,95630
"1121 Souza Way","Folsom","3-4","2 (2 0)",2300,0.1732,"ac","2003",2013-11-14,223.04,"7/7",514990,"514,990","512990",99.61,95630
"1905 Tyndrum Ln","Folsom","4","3 (3 0)",2682,0.1923,"ac","2000",2014-01-28,192.02,"4/4",509900,"509,900","515000",101,95630
"158 Pinnacle Butte Ct","Folsom","4","3 (2 1)",3667,0.4235,"ac","2005",2013-11-27,140.99,"6/6",495000,"495,000","517000",104.44,95630
"1125 Kingfisher Cir","Folsom","5-6","3 (3 0)",3264,0.1567,"ac","1999",2013-11-07,159.31,"142/142",549900,"529,900","520000",98.13,95630
"459 Chaparral Dr","Folsom","4","3 (2 1)",2462,0.1928,"ac","2004",2014-03-12,211.21,"6/6",515000,"515,000","520000",100.97,95630
"1525 Parkway Dr","Folsom","3-4","2 (2 0)",2300,0.1994,"ac","2004",2014-02-24,229.13,"7/7",525000,"525,000","527000",100.38,95630
"1469 Marietta Ct","Folsom","4","4 (3 1)",3250,0.24,"ac","2010",2013-11-15,163.08,"63/415",589999,"559,900","530000",94.66,95630
"105 Demurrage Way","Folsom","5","3 (3 0)",2968,0.1667,"ac","1992",2013-11-25,178.57,"15/15",529500,"529,500","530000",100.09,95630
"416 Willow Creek Dr","Folsom","5","3 (3 0)",2591,0.3028,"ac","1989",2013-11-06,204.55,"4/4",499900,"499,900","530000",106.02,95630
"191 John Henry Cir","Folsom","5","3 (3 0)",2968,0.2104,"ac","1991",2014-03-28,178.57,"13/13",524900,"524,900","530000",100.97,95630
"109 Blue Canyon Way","Folsom","4-5","3 (3 0)",2878,0.2938,"ac","1984",2014-02-11,185.89,"133/133",549000,"535,000","535000",100,95630
